Name,MC,MP 
Bitcoin (Биткоин),"₽108,507,585,213,690",30.12%
Ethereum (Эфириум),"₽36,465,891,094,939",10.12%
Tether (Тезер),"₽9,808,760,890,369",2.72%
BNB,"₽7,511,118,518,805",2.09%
Solana (Солана),"₽5,960,791,290,410",1.65%
USDC,"₽2,810,681,027,510",0.78%
XRP,"₽2,331,363,920,196",0.65%
Toncoin (Тонкоин),"₽1,647,758,219,611",0.46%
Dogecoin (Догекоин),"₽1,595,079,855,078",0.44%
Cardano (Кардано),"₽1,238,700,982,126",0.34%
Ethena USDe,"₽313,413,006,224",0.09%
Zeebu,"₽134,829,799,636",0.04%
Fellaz,"₽98,298,748,962",0.03%
Cheelee,"₽95,831,870,914",0.03%
Fasttoken,"₽58,592,771,299",0.02%
Popcat (SOL),"₽57,179,047,990",0.02%
Frax,"₽56,338,003,082",0.02%
PepeCoin,"₽35,116,483,425",0.01%
IPVERSE,"₽34,047,334,903",0.01%
USDB,"₽33,941,333,359",0.01%
Venus BUSD,"₽5,226,324,094",0.0%
Gearbox Protocol,"₽5,177,856,199",0.0%
Aleph.im,"₽5,168,811,058",0.0%
Dora Factory,"₽5,168,668,815",0.0%
XPLA,"₽5,155,498,099",0.0%
ArbDoge AI,"₽5,106,902,798",0.0%
DeFi Pulse Index,"₽5,088,135,954",0.0%
GuildFi,"₽5,067,600,229",0.0%
LTO Network,"₽5,040,403,842",0.0%
GameStop,"₽5,038,359,108",0.0%
Fei USD,"₽1,330,916,220",0.0%
GameGPT,"₽1,328,134,667",0.0%
Quantum Resistant Ledger,"₽1,327,491,704",0.0%
BytomDAO,"₽1,318,002,991",0.0%
WAGMI Games,"₽1,313,481,427",0.0%
Circuits of Value,"₽1,305,092,934",0.0%
SpaceN,"₽1,298,637,460",0.0%
SHPING,"₽1,297,187,301",0.0%
Suku,"₽1,289,319,958",0.0%
Ambire Wallet,"₽1,273,553,108",0.0%
GemHUB,"₽292,380,528",0.0%
DOGEMOB,"₽289,934,170",0.0%
ADAMANT Messenger,"₽289,582,930",0.0%
Djed,"₽288,735,965",0.0%
GALAXIA,"₽288,453,954",0.0%
ASTA,"₽287,239,835",0.0%
Particl,"₽286,510,605",0.0%
yAxis,"₽286,258,319",0.0%
Ethernity CLOUD,"₽285,477,570",0.0%
Jobchain,"₽282,810,172",0.0%
KCCPAD,"₽32,849,019",0.0%
Bridge Mutual,"₽32,826,136",0.0%
The QWAN,"₽32,799,693",0.0%
Nvidia Inu,"₽32,624,684",0.0%
DomRaider,"₽32,545,484",0.0%
BendDAO,"₽32,373,931",0.0%
Aki Network,"₽32,329,085",0.0%
Shirtum,"₽32,306,569",0.0%
Quark,"₽31,986,187",0.0%
Opium,"₽31,596,792",0.0%
Peepo,"₽312,991,385",0.0%
MMX,"₽34,615,828,245",0.01%
lilpump,"₽293,355,094",0.0%
GHO,"₽2,957,238,042",0.0%
LayerAI,"₽2,957,238,042",0.0%
Pop Social,"₽157,835,351",0.0%
FreeBnk,"₽314,284,265",0.0%
Phoenic,"₽3,101,354,670,814",0.86%
Rabbit,"₽20,575,209",0.0%
IQ50,"₽711,229,991",0.0%
Monkey,"₽52,438,646",0.0%
Mahabibi Bin Solman,"₽19,023,105",0.0%
Iustitia Coin,"₽26,898,634",0.0%
Fantaverse,"₽6,958,682",0.0%
SOL ETF,"₽5,819,287",0.0%
Baba,"₽399,931,334",0.0%
$REFLECT,"₽13,434,794",0.0%
Pontoon,"₽658,594",0.0%
Aura Network,"₽687,975,310",0.0%
AstroPepeX,"₽739,424,960",0.0%
Waggle Network,"₽23,340,399",0.0%
MEMEME,"₽24,984,675",0.0%
APWine Finance,"₽103,535,319",0.0%
Defispot,"₽103,535,319",0.0%
SpaceY,"₽19,645,626",0.0%
MAGA PEPE,"₽19,645,626",0.0%
PlayPad,"₽8,831,658",0.0%
OST,"₽1,202,839",0.0%
Arbswap,"₽1,202,839",0.0%
VeraOne,"₽1,136,742,573",0.0%
