Name,MC,MP 
Bitcoin (Биткоин),"₽104,489,825,030,366",30.3%
Ethereum (Эфириум),"₽35,138,158,822,042",10.19%
Tether (Тезер),"₽9,818,904,005,922",2.85%
BNB,"₽7,321,694,293,614",2.12%
Solana (Солана),"₽5,411,670,800,076",1.57%
USDC,"₽2,846,551,274,136",0.83%
XRP,"₽2,306,076,414,202",0.67%
Toncoin (Тонкоин),"₽1,617,320,466,970",0.47%
Dogecoin (Догекоин),"₽1,541,916,451,839",0.45%
Cardano (Кардано),"₽1,209,404,109,713",0.35%
Ethena USDe,"₽310,078,291,618",0.09%
Zeebu,"₽129,002,347,127",0.04%
Fellaz,"₽105,388,614,212",0.03%
Cheelee,"₽92,243,369,088",0.03%
Fasttoken,"₽58,692,298,786",0.02%
Frax,"₽56,348,074,223",0.02%
IPVERSE,"₽36,951,443,597",0.01%
USDB,"₽36,911,163,473",0.01%
Aerodrome Finance,"₽32,444,833,030",0.01%
Popcat (SOL),"₽32,457,426,554",0.01%
Maple,"₽5,019,735,980",0.0%
HyperCycle,"₽5,005,019,688",0.0%
Aleph.im,"₽4,990,688,618",0.0%
GuildFi,"₽4,980,275,752",0.0%
Euler,"₽4,972,059,277",0.0%
GameBuild,"₽4,895,183,343",0.0%
RAMP,"₽4,875,998,988",0.0%
LTO Network,"₽4,834,576,882",0.0%
Bitcoin Palladium,"₽4,833,139,967",0.0%
PepeFork,"₽4,827,940,914",0.0%
TARS AI,"₽1,282,333,201",0.0%
dForce,"₽1,279,636,942",0.0%
Optimus AI,"₽1,278,803,777",0.0%
Only1,"₽1,275,710,524",0.0%
Brickken,"₽1,274,743,809",0.0%
Nyan Heroes,"₽1,268,240,032",0.0%
GET Protocol,"₽1,263,413,853",0.0%
Scallop,"₽1,262,037,787",0.0%
Suku,"₽1,257,510,500",0.0%
Nodle,"₽1,252,169,701",0.0%
Mozaic,"₽292,543,585",0.0%
BLOCX.,"₽291,589,826",0.0%
Kylin,"₽289,893,113",0.0%
ADAMANT Messenger,"₽288,492,383",0.0%
SELO+,"₽288,415,074",0.0%
ASTA,"₽287,405,953",0.0%
Djed,"₽287,380,718",0.0%
DxChain Token,"₽287,060,893",0.0%
PureFi Protocol,"₽286,603,394",0.0%
Rari Governance Token,"₽284,675,755",0.0%
Olyverse,"₽32,309,006",0.0%
Sumokoin,"₽32,281,066",0.0%
Inex Project,"₽31,828,021",0.0%
Sekuya Multiverse,"₽31,792,014",0.0%
Goldcoin,"₽31,471,425",0.0%
DomRaider,"₽31,349,889",0.0%
SELF Crypto,"₽31,303,913",0.0%
Shirtum,"₽31,207,028",0.0%
Wizardia,"₽31,124,376",0.0%
OceanEx Token,"₽31,035,639",0.0%
Massive Protocol,"₽1,376,981,726",0.0%
Hege,"₽1,815,464,343",0.0%
Doodoo,"₽175,197,079",0.0%
LEGION,"₽85,477,608",0.0%
Milo Inu,"₽5,183,281,999",0.0%
Sanko GameCorp,"₽5,183,281,999",0.0%
cLFi,"₽183,329,323,546",0.05%
BiCity AI Projects,"₽183,329,323,546",0.05%
Port3 Network,"₽809,557,870",0.0%
Pop Social,"₽166,328,029",0.0%
Peezy,"₽138,841,084",0.0%
Shitcoin,"₽176,467,180",0.0%
XOX Labs,"₽31,683,309",0.0%
HarryPotterObamaInu,"₽6,507,361",0.0%
MAGA,"₽107,303,947",0.0%
INSC (Ordinals),"₽139,128,509",0.0%
Kusunoki Samurai,"₽139,128,509",0.0%
Pepoclown,"₽139,128,509",0.0%
Mechaverse,"₽23,183,564",0.0%
Raini Studios Token,"₽1,515,283,139",0.0%
BBC Gold Coin,"₽6,558,682,605",0.0%
MinePlex,"₽20,059,144",0.0%
ShibaInu On Solana,"₽20,059,144",0.0%
MemeDAO,"₽11,862,099",0.0%
ApeWifHat,"₽25,375,287",0.0%
DeFi Warrior (FIWA),"₽2,800,379",0.0%
Brett (ETH),"₽169,449,991",0.0%
MoonDAO,"₽54,766,049",0.0%
KridaFans,"₽2,654,414",0.0%
LUXO,"₽288,710,391",0.0%
