Name,MC,MP 
Bitcoin (Биткоин),"₽105,609,386,705,770",30.5%
Ethereum (Эфириум),"₽35,446,120,392,823",10.24%
Tether (Тезер),"₽9,841,656,699,466",2.84%
BNB,"₽7,408,752,781,792",2.14%
Solana (Солана),"₽5,523,123,934,356",1.59%
USDC,"₽2,866,859,542,769",0.83%
XRP,"₽2,299,210,585,721",0.66%
Toncoin (Тонкоин),"₽1,604,216,264,707",0.46%
Dogecoin (Догекоин),"₽1,580,499,418,866",0.46%
Cardano (Кардано),"₽1,214,915,925,204",0.35%
Ethena USDe,"₽312,007,491,391",0.09%
Zeebu,"₽132,306,439,488",0.04%
Fellaz,"₽105,459,658,347",0.03%
Cheelee,"₽93,104,246,152",0.03%
Fasttoken,"₽58,901,088,158",0.02%
Frax,"₽56,509,542,266",0.02%
Popcat (SOL),"₽39,941,469,386",0.01%
IPVERSE,"₽37,084,261,504",0.01%
USDB,"₽36,944,256,712",0.01%
PepeCoin,"₽34,020,716,065",0.01%
Wirex Token,"₽5,213,292,517",0.0%
Nexera,"₽5,206,132,461",0.0%
GameStop,"₽5,168,596,533",0.0%
Ultiverse,"₽5,189,296,242",0.0%
Aleph.im,"₽5,198,035,018",0.0%
Toko Token,"₽5,180,711,783",0.0%
WazirX,"₽5,038,008,601",0.0%
ArbDoge AI,"₽4,992,911,842",0.0%
crow with knife,"₽4,958,872,276",0.0%
Maple,"₽4,952,908,796",0.0%
Swarm Markets,"₽1,282,721,558",0.0%
dForce,"₽1,281,689,454",0.0%
TARS AI,"₽1,281,632,882",0.0%
Only1,"₽1,276,015,117",0.0%
Brickken,"₽1,274,935,588",0.0%
Nyan Heroes,"₽1,270,817,239",0.0%
GET Protocol,"₽1,263,495,472",0.0%
Scallop,"₽1,263,799,129",0.0%
Suku,"₽1,255,231,035",0.0%
Gleec Coin,"₽1,253,913,456",0.0%
Mozaic,"₽296,630,828",0.0%
Coupon Assets,"₽296,318,971",0.0%
BLOCX.,"₽292,830,732",0.0%
Kylin,"₽289,733,095",0.0%
ADAMANT Messenger,"₽288,570,355",0.0%
SELO+,"₽288,300,410",0.0%
ASTA,"₽287,433,991",0.0%
Djed,"₽287,402,222",0.0%
PureFi Protocol,"₽287,030,213",0.0%
Bubble,"₽284,726,939",0.0%
Sumokoin,"₽32,280,561",0.0%
Professional Fighters League Fan Token,"₽31,970,139",0.0%
Inex Project,"₽31,846,659",0.0%
Sekuya Multiverse,"₽31,805,501",0.0%
Goldcoin,"₽31,474,950",0.0%
DomRaider,"₽31,331,878",0.0%
SELF Crypto,"₽31,307,182",0.0%
Wizardia,"₽31,127,944",0.0%
OceanEx Token,"₽31,047,589",0.0%
BLOX,"₽31,025,948",0.0%
Hege,"₽1,834,231,544",0.0%
SAD HAMSTER,"₽1,306,482,540",0.0%
Doodoo,"₽174,794,538",0.0%
LEGION,"₽83,001,491",0.0%
Sanko GameCorp,"₽5,190,107,100",0.0%
Milo Inu,"₽809,331,528",0.0%
cLFi,"₽809,331,528",0.0%
Port3 Network,"₽809,331,528",0.0%
BiCity AI Projects,"₽183,987,671,623",0.05%
Pop Social,"₽165,556,443",0.0%
MikeToken,"₽9,002,435",0.0%
Shitcoin,"₽176,580,689",0.0%
BOOK OF BILLIONAIRES,"₽31,061,041",0.0%
HarryPotterObamaInu,"₽6,502,364",0.0%
StarHeroes,"₽433,318,177",0.0%
Raini Studios Token,"₽1,514,073,516",0.0%
LEO,"₽348,370,451",0.0%
Pepoclown,"₽139,124,129",0.0%
Kusunoki Samurai,"₽44,442,195,728",0.01%
BinaryX (old),"₽44,442,195,728",0.01%
Briun Armstrung,"₽116,485,196",0.0%
Summer,"₽20,239,972",0.0%
MinePlex,"₽20,239,972",0.0%
ShibaInu On Solana,"₽20,239,972",0.0%
MoonDAO,"₽54,732,047",0.0%
Dork Lord,"₽170,263,514",0.0%
Brett (ETH),"₽170,263,514",0.0%
BABYTRUMP,"₽270,195,169",0.0%
DeFi Warrior (FIWA),"₽2,796,157",0.0%
KridaFans,"₽2,651,808",0.0%
